Constituency,Party of incumbent before election,Party of incumbent before election2,Member returned,Party of incumbent after election,Party of incumbent after election2,Notes
North West Durham,,Labour,Richard Holden,,Conservative,"Defeated incumbent, Laura Pidcock"
North West Hampshire,,Conservative,Kit Malthouse,,Conservative,Seat held
North West Leicestershire,,Conservative,Andrew Bridgen,,Conservative,Seat held
North West Norfolk,,Conservative,James Wild,,Conservative,"Previous incumbent, Henry Bellingham, did not stand"
North Wiltshire,,Conservative,James Gray,,Conservative,Seat held
Northampton North,,Conservative,Michael Ellis,,Conservative,Seat held
Northampton South,,Conservative,Andrew Lewer,,Conservative,Seat held
Norwich North,,Conservative,Chloe Smith,,Conservative,Seat held
Norwich South,,Labour,Clive Lewis,,Labour,Seat held
Nottingham East,,Change UK,Nadia Whittome,,Labour,"Defeated incumbent, Chris Leslie"
Nottingham North,,Labour Co-operative,Alex Norris,,Labour Co-operative,Seat held
Nottingham South,,Labour,Lilian Greenwood,,Labour,Seat held
Nuneaton,,Conservative,Marcus Jones,,Conservative,Seat held
Ochil and South Perthshire,,Conservative,John Nicolson,,Scottish National,"Defeated incumbent, Luke Graham"
Ogmore,,Labour,Chris Elmore,,Labour,Seat held
Old Bexley and Sidcup,,Conservative,James Brokenshire,,Conservative,Seat held
Oldham East and Saddleworth,,Labour,Debbie Abrahams,,Labour,Seat held
Oldham West and Royton,,Labour Co-operative,Jim McMahon,,Labour Co-operative,Seat held
Orkney and Shetland,,Liberal Democrats,Alistair Carmichael,,Liberal Democrats,Seat held
Orpington,,Conservative,Gareth Bacon,,Conservative,"Previous incumbent, Jo Johnson, did not stand"
Oxford East,,Labour Co-operative,Anneliese Dodds,,Labour Co-operative,Seat held
Oxford West and Abingdon,,Liberal Democrats,Layla Moran,,Liberal Democrats,Seat held
Paisley and Renfrewshire North,,Scottish National,Gavin Newlands,,Scottish National,Seat held
Paisley and Renfrewshire South,,Scottish National,Mhairi Black,,Scottish National,Seat held
Pendle,,Conservative,Andrew Stephenson,,Conservative,Seat held
Penistone and Stocksbridge,,Liberal Democrats,Miriam Cates,,Conservative,"Previous incumbent, Angela Smith, did not stand"
Penrith and The Border,,Independent,Neil Hudson,,Conservative,"Previous incumbent, Rory Stewart, did not stand"
Perth and North Perthshire,,Scottish National,Pete Wishart,,Scottish National,Seat held
Peterborough,,Labour,Paul Bristow,,Conservative,"Defeated incumbent, Lisa Forbes"
Plymouth Moor View,,Conservative,Johnny Mercer,,Conservative,Seat held
Plymouth Sutton and Devonport,,Labour Co-operative,Luke Pollard,,Labour Co-operative,Seat held
Pontypridd,,Labour,Alex Davies-Jones,,Labour,"Previous incumbent, Owen Smith, did not stand"
Poole,,Conservative,Robert Syms,,Conservative,Seat held
Poplar and Limehouse,,Labour,Apsana Begum,,Labour,"Previous incumbent, Jim Fitzpatrick, did not stand"
Portsmouth North,,Conservative,Penny Mordaunt,,Conservative,Seat held
Portsmouth South,,Labour,Stephen Morgan,,Labour,Seat held
Preseli Pembrokeshire,,Conservative,Stephen Crabb,,Conservative,Seat held
Preston,,Labour Co-operative,Mark Hendrick,,Labour Co-operative,Seat held
Pudsey,,Conservative,Stuart Andrew,,Conservative,Seat held
Putney,,Independent,Fleur Anderson,,Labour,"Previous incumbent, Justine Greening, did not stand"
Rayleigh and Wickford,,Conservative,Mark Francois,,Conservative,Seat held
Reading East,,Labour,Matt Rodda,,Labour,Seat held
Reading West,,Conservative,Alok Sharma,,Conservative,Seat held
Redcar,,Labour Co-operative,Jacob Young,,Conservative,"Defeated incumbent, Anna Turley"
Redditch,,Conservative,Rachel Maclean,,Conservative,Seat held
Reigate,,Conservative,Crispin Blunt,,Conservative,Seat held
Rhondda,,Labour,Chris Bryant,,Labour,Seat held
Ribble Valley,,Conservative,Nigel Evans,,Conservative,Seat held
Richmond (Yorks),,Conservative,Rishi Sunak,,Conservative,Seat held
Richmond Park,,Conservative,Sarah Olney,,Liberal Democrats,"Defeated incumbent, Zac Goldsmith"
Rochdale,,Labour,Tony Lloyd,,Labour,Seat held
Rochester and Strood,,Conservative,Kelly Tolhurst,,Conservative,Seat held
Rochford and Southend East,,Conservative,James Duddridge,,Conservative,Seat held
Romford,,Conservative,Andrew Rosindell,,Conservative,Seat held
Romsey and Southampton North,,Conservative,Caroline Nokes,,Conservative,Seat held
"Ross, Skye and Lochaber",,Scottish National,Ian Blackford,,Scottish National,Seat held
Rossendale and Darwen,,Conservative,Jake Berry,,Conservative,Seat held
Rother Valley,,Labour,Alexander Stafford,,Conservative,"Previous incumbent, Kevin Barron, did not stand"
Rotherham,,Labour,Sarah Champion,,Labour,Seat held
Rugby,,Conservative,Mark Pawsey,,Conservative,Seat held
"Ruislip, Northwood and Pinner",,Conservative,David Simmonds,,Conservative,"Previous incumbent, Nick Hurd, did not stand"
Runnymede and Weybridge,,Independent,Ben Spencer,,Conservative,"Previous incumbent, Philip Hammond, did not stand"
Rushcliffe,,Independent,Ruth Edwards,,Conservative,"Previous incumbent, Ken Clarke, did not stand"
Rutherglen and Hamilton West,,Labour Co-operative,Margaret Ferrier,,Scottish National,"Defeated incumbent, Gerard Killen"
Rutland and Melton,,Conservative,Alicia Kearns,,Conservative,"Previous incumbent, Alan Duncan, did not stand"
Saffron Walden,,Conservative,Kemi Badenoch,,Conservative,Seat held
Salford and Eccles,,Labour,Rebecca Long-Bailey,,Labour,Seat held
Salisbury,,Conservative,John Glen,,Conservative,Seat held
Scarborough and Whitby,,Conservative,Robert Goodwill,,Conservative,Seat held
Scunthorpe,,Labour,Holly Mumby-Croft,,Conservative,"Defeated incumbent, Nic Dakin"
Sedgefield,,Labour,Paul Howell,,Conservative,"Defeated incumbent, Phil Wilson"
Sefton Central,,Labour,Bill Esterson,,Labour,Seat held
Selby and Ainsty,,Conservative,Nigel Adams,,Conservative,Seat held
Sevenoaks,,Conservative,Laura Trott,,Conservative,"Previous incumbent, Michael Fallon, did not stand"
Sheffield Central,,Labour,Paul Blomfield,,Labour,Seat held
Sheffield South East,,Labour,Clive Betts,,Labour,Seat held
Sheffield Brightside and Hillsborough,,Labour,Gill Furniss,,Labour,Seat held
Sheffield Hallam,,Independent,Olivia Blake,,Labour,"Previous incumbent, Jared O'Mara, did not stand"
Sheffield Heeley,,Labour,Louise Haigh,,Labour,Seat held
Sherwood,,Conservative,Mark Spencer,,Conservative,Seat held
Shipley,,Conservative,Philip Davies,,Conservative,Seat held
Shrewsbury and Atcham,,Conservative,Daniel Kawczynski,,Conservative,Seat held
Sittingbourne and Sheppey,,Conservative,Gordon Henderson,,Conservative,Seat held
Skipton and Ripon,,Conservative,Julian Smith,,Conservative,Seat held
Sleaford and North Hykeham,,Conservative,Caroline Johnson,,Conservative,Seat held
Slough,,Labour,Tanmanjeet Dhesi,,Labour,Seat held
Solihull,,Conservative,Julian Knight,,Conservative,Seat held
Somerton and Frome,,Conservative,David Warburton,,Conservative,Seat held
South Antrim,,DUP,Paul Girvan,,DUP,Seat held
South Basildon and East Thurrock,,Conservative,Stephen Metcalfe,,Conservative,Seat held
